participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,human_uniqueness_scale,human_nature_scale,gender,age
241,1,1,0,0,1.67,0.5,1,40
242,4,3,0,1,1.5,0.83,1,3
243,3,4,0,4,-1.67,-0.67,1,40
244,1,2,0,2,1.67,1.83,2,22
245,1,3,0,4,0.5,-0.67,1,31
246,1,3,0,3,0.67,0.33,2,36
247,4,4,0,1,-0.17,1.67,2,30
248,3,2,0,2,-0.17,-0.17,2,36
249,3,1,0,1,-0.33,-0.33,1,66
250,4,1,0,5,0.17,0,2,44
251,4,3,1,1,0.17,0.5,2,23
252,1,3,0,5,2.67,2.83,2,59
253,2,3,0,3,1.67,1.5,2,29
254,4,2,0,2,-1.67,-0.5,2,32
255,2,2,1,4,-1.83,-1,1,25
256,1,4,0,3,-0.33,-0.17,1,46
257,2,1,0,0,-1,-0.83,2,42
258,1,3,1,1,2.17,2.17,1,26
259,2,1,0,3,0.83,-0.5,1,54
260,2,1,0,3,0.17,0.17,1,24
261,1,1,0,4,1,0.33,2,35
262,3,4,0,6,-0.33,0,2,32
263,3,3,0,2,1,0.5,2,55
264,3,1,1,1,0.67,0,1,33
265,3,3,0,3,0.5,1.67,2,53
266,1,3,0,3,1,0.33,2,30
267,1,1,0,3,0.67,-1,1,29
268,4,3,0,4,-0.33,-0.17,1,60
269,4,1,0,1,2.67,2.5,1,26
270,2,4,0,1,0.33,2,2,37
271,3,1,0,2,0,0,1,33
272,4,1,0,1,1.17,0.5,2,26
273,2,3,1,4,1,0.67,1,27
274,1,3,0,0,1.67,2,2,36
275,1,1,0,4,1.83,2.33,1,38
276,2,2,0,1,-0.83,-0.5,2,39
277,1,2,0,1,1,1.17,1,43
278,2,3,0,4,0.83,0.17,2,25
279,2,1,0,3,1.83,1.17,2,30
280,4,3,0,2,2,1.33,1,32
281,4,1,0,6,0.83,0.83,2,52
282,4,4,0,0,-0.17,0,2,25
283,2,3,0,5,-0.17,0.17,1,56
284,3,3,1,4,2,2.33,2,67
285,4,3,1,3,1,0.67,2,24
286,3,3,1,2,2,1.67,2,32
287,1,3,1,2,2.67,2.5,2,40
288,2,3,1,0,0,0,2,21
289,3,4,1,1,0,-0.17,1,62
290,1,3,1,1,0,0.33,2,60
291,4,2,1,4,-0.33,-0.33,1,45
292,4,1,0,3,1.67,1.17,2,34
293,2,4,1,0,1.33,2,2,47
